Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
MPNB-202,13/01/2022,,,,92/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480119.843,,249323.714,,,,,581044,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM59
MPNB-203,08/11/2021,,,,92/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480059.155,,249411.94,,,,,581041,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM60
MPNB-204,13/01/2022,,,,93/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,480001.802,,249500.564,,,,,581038,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM61
MPNB-205,13/01/2022,,,,93/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,479951.977,,249579.991,,,,,581035,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM62
MPNB-206,13/01/2022,,,,93/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,479900.192,,249670.156,,,,,581032,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM63
MPNB-207,08/03/2022,,,,93/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,479850.174,,249755.258,,,,,581029,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM64
MPNB-208,08/11/2021,,,,93/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,479800.903,,249839.14,,,,,581026,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM65
MPNB-209,08/11/2021,,,,93/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,479739.809,,249943.138,,,,,581023,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM66
MPNB-210,13/01/2022,,,,93/6,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,479678.138,,250048.118,,,,,581020,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM67
MPNB-211,13/01/2022,,,,93/7,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,479617.511,,250151.473,,,,,581017,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM68
MPNB-212,08/03/2022,,,,93/8,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,479561.093,,250246.379,,,,,581014,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM69
MPNB-213,08/03/2022,,,,93/9,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,479508.23,,250335.825,,,,,581009,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM70
