Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
HMPNB-44,30/08/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475512.704,,254812.773,,,,,568831,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL02
HMPNB-45,30/08/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,475505.813,,254819.976,,,,,568825,IT_SM:IT_SM-M:M1-J15-NB-RTS-BOL-BOL03
HMPNB-46,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474128.874,,256195.807,,,,,568849,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL01
HMPNB-47,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474122.623,,256203.035,,,,,568846,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL02
HMPNB-48,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,474116.215,,256210.75,,,,,568843,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL03
HMPNB-61,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473578.732,,256655.987,,,,,568858,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL04
HMPNB-62,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473571.267,,256662.489,,,,,568855,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL05
HMPNB-63,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,473563.765,,256669.065,,,,,568852,IT_SM:IT_SM-M:M1-J15A-NB-RTS-BOL-BOL06
HMPNB-64,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471204.534,,257878.688,,,,,568203,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL01
HMPNB-65,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471196.749,,257885.158,,,,,568200,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL02
HMPNB-66,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,471189.109,,257891.585,,,,,568197,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL03
HMPNB-50,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470630.507,,258268.046,,,,,568218,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL04
HMPNB-51,30/05/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,470622.911,,258274.386,,,,,568215,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL05
HMPNB-52,30/06/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469203.698,,258919.154,,,,,568233,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL06
HMPNB-53,30/06/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469194.333,,258923.332,,,,,568236,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL07
HMPNB-54,30/06/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469184.722,,258927.487,,,,,568239,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL08
